job_title, company_name, job_type, 
Data Analyst, Al Ahly capital holding - Al Ahly Tamkeen -, Full Time, 
Data Analyst, Hands of Hope Physical Therapy & Wellness -, Full Time, 
ERPNext Specialist/Data Analyst, Confidential -, Full Time, 
Data Analyst, Natcom -, Full Time, 
Data Analyst, Nugttah -, Full Time, 
Data Analyst (On-Site), Union Coop -, Full Time, 
Senior Market Research & Data Analyst, Onecard -, Full Time, 
Fleet Data Analyst, Seoudi Supermarket -, Full Time, 
Big Data Business Analyst (KSA), Ejada  -, Full Time, 
Senior Business Analyst, Egabi FSI -, Full Time, 
Senior Sales Analyst (Power BI), Alarabia Group -, Full Time, 
System Analyst ( software house Company ), Houya Arrow -, Full Time, 
Senior Business Strategy Analyst, Guardian towing -, Full Time, 
Tariff Analyst, Tripathon -, Full Time, 
Data Analyst, ITCan -, Full Time, 
Data Analysis Instructor, Zero Grad -, Freelance / Project, 
Hr Planning Specialist (Data Analyst), Andalusia Group -, Full Time, 
Power BI Analyst, Dynamicslink -, Full Time, 
Commercial Data Management Specialist, Hikma Pharmaceuticals -, Full Time, 
Quality Assurance Analyst, Globaction -, Full Time, 
Data Analyst, JoviTronix  -, Full Time, 
Business Analyst, Misr Insurance Co -, Full Time, 
Senior Business Analyst, Naeem -, Full Time, 
Mis Senior analyst, Majorel Egypt -, Full Time, 
Budget Analyst, Majorel Egypt -, Full Time, 
Equity Analyst, rowaad -, Full Time, 
Quality Control Analyst, Hikma Pharmaceuticals -, Full Time, 
BI Analyst, Confidential -, Full Time, 
Senior Financial Analyst, Cairo Three A  Poultry -, Full Time, 
PMO Analyst, IT Systems Corporation -, Full Time, 
Budget Analyst, Somabay -, Full Time, 
Senior Financial Analyst, Evergrow for Speciality Fertilizers -, Full Time, 
Financial Analyst, rowaad -, Work From Home, 
Software Analyst, Zewail City -, Full Time, 
Senior System analyst, Masary -, Full Time, 
Business Development Analyst, Cilantro -, Full Time, 
Product Owner/Business Analyst, Nahdet Misr Publishing Group -, Full Time, 
Senior Financial reporting Analyst, Argaam -, Full Time, 
Cash Flow Analyst, Elite Education Group -, Full Time, 
Financial Analyst, Elite Education Group -, Full Time, 
Financial Analyst, Cairoscan -, Full Time, 
Flow Cytometry Analyst - Medical, siParadigm Egypt -, Full Time, 
Business Analyst, Youxel -, Full Time, 
Process Associate/ Developer – Reporting Analyst (MIS), Genpact -, Full Time, 
Data Analyst, Cleopatra Cement -, Full Time, 
Ads Sales Quality and Training Analyst –Senior Process Associate, Genpact -, Full Time, 
Senior Investment Banking Analyst, Talaat Moustafa Group -, Full Time, 
Market Research Analyst, Dealtio -, Full Time, 
